SUBJECT,AGE,READING,WORD,CONSOLIDATION,TRAINING
37,21.82933257,0.94,1,1.34,2.255
8,18.75454892,0.95,1,1.345,1.285
184,21.78826396,0.95,1,1.75,-0.01
33,22.04836513,0.92,1,1,0.65
156,21.5364906,0.92,1,1.34,0.345
88,20.2002779,0.92,1,2.035,-0.455
164,28.34840323,0.94,1,1.155,0.245
14,20.10171325,0.95,1,2.9,0.785
4,19.83602219,0.95,1,2.15,1.995
189,20.88201674,0.96,1,2.25,0.635
165,20.07707208,0.96,1,0.195,1.5
127,26.03475773,0.97,1,1.55,1.54
146,21.49268408,0.97,1,1.25,0.65
122,21.16402116,0.97,1,3.63,0.285
163,21.31472013,0.97,1,0.65,0.295
124,24.3427312,0.98,1,2.435,1.29
73,22.75474514,0.92,1,0.935,1.925
170,19.26653753,0.95,1,-0.025,0.715
177,22.08110593,0.95,1,2.065,1.025
151,20.41942454,0.96,1,1.425,0.835
11,19.15987323,0.98,1,2.34,1.85
190,21.82374267,1,1,2.43,0.01
